  1.000000 -0.000000
  0.956522  0.006146
  0.913043  0.011965
  0.869565  0.017480
  0.826087  0.022710
  0.782609  0.027665
  0.739130  0.032351
  0.695652  0.036766
  0.652174  0.040901
  0.608696  0.044740
  0.565217  0.048259
  0.521739  0.051424
  0.478261  0.054193
  0.434783  0.056512
  0.391304  0.058313
  0.347826  0.059511
  0.304348  0.060002
  0.260870  0.059648
  0.217391  0.058267
  0.173913  0.055601
  0.130435  0.051247
  0.086957  0.044470
  0.043478  0.033473
  0.000000  0.000000
  0.043478 -0.033473
  0.086957 -0.044470
  0.130435 -0.051247
  0.173913 -0.055601
  0.217391 -0.058267
  0.260870 -0.059648
  0.304348 -0.060002
  0.347826 -0.059511
  0.391304 -0.058313
  0.434783 -0.056512
  0.478261 -0.054193
  0.521739 -0.051424
  0.565217 -0.048259
  0.608696 -0.044740
  0.652174 -0.040901
  0.695652 -0.036766
  0.739130 -0.032351
  0.782609 -0.027665
  0.826087 -0.022710
  0.869565 -0.017480
  0.913043 -0.011965
  0.956522 -0.006146
  1.000000  0.000000
